WildCard,2021-01-09,Buffalo Bills,,Indianapolis Colts,27,24
WildCard,2021-01-09,Los Angeles Rams,@,Seattle Seahawks,30,20
WildCard,2021-01-09,Tampa Bay Buccaneers,@,Washington Commanders,31,23
WildCard,2021-01-10,Baltimore Ravens,@,Tennessee Titans,20,13
WildCard,2021-01-10,New Orleans Saints,,Chicago Bears,21,9
WildCard,2021-01-10,Cleveland Browns,@,Pittsburgh Steelers,48,37
Division,2021-01-16,Green Bay Packers,,Los Angeles Rams,32,18
Division,2021-01-16,Buffalo Bills,,Baltimore Ravens,17,3
Division,2021-01-17,Kansas City Chiefs,,Cleveland Browns,22,17
Division,2021-01-17,Tampa Bay Buccaneers,@,New Orleans Saints,30,20
ConfChamp,2021-01-24,Tampa Bay Buccaneers,@,Green Bay Packers,31,26
ConfChamp,2021-01-24,Kansas City Chiefs,,Buffalo Bills,38,24
SuperBowl,2021-02-07,Tampa Bay Buccaneers,N,Kansas City Chiefs,31,9
